,,Job,Marital,Education,Default,HHInsurance,CarLoan,Communication,LastContactDay,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,AgeBin,BalanceBin,CallLength,CallLengthBin,CallStartHour,LastContactDate,LastContactWkd,LastContactMon,LastContactWk,LastContactWkNum
train,0,management,single,3,0,1,0,telephone,28,2,-1,0,NoPrev,2020-01-12 13:45:20,2020-01-12 13:46:30,1,1,1.1666666666666667,1,13,2016-01-28 00:00:00,3,1,4,4
train,1,blue-collar,married,1,0,1,0,None,26,5,-1,0,NoPrev,2020-01-12 14:49:03,2020-01-12 14:52:08,1,1,3.0833333333333335,1,14,2016-05-26 00:00:00,3,5,21,4
train,2,management,single,3,0,1,0,cellular,3,1,119,1,failure,2020-01-12 16:30:24,2020-01-12 16:36:04,1,1,5.666666666666667,1,16,2016-06-03 00:00:00,4,6,22,1
train,3,student,single,1,0,1,0,cellular,11,2,-1,0,NoPrev,2020-01-12 12:06:43,2020-01-12 12:20:22,1,1,13.65,2,12,2016-05-11 00:00:00,2,5,19,2
train,4,management,married,3,0,0,0,cellular,3,1,-1,0,NoPrev,2020-01-12 14:35:44,2020-01-12 14:38:56,1,1,3.2,1,14,2016-06-03 00:00:00,4,6,22,1
train,5,technician,single,3,0,0,0,cellular,22,1,109,1,failure,2020-01-12 14:58:08,2020-01-12 15:11:24,1,1,13.266666666666667,2,14,2016-05-22 00:00:00,6,5,20,3
train,6,admin.,single,3,0,1,0,cellular,17,1,-1,0,NoPrev,2020-01-12 13:00:02,2020-01-12 13:03:17,2,1,3.25,1,13,2016-03-17 00:00:00,3,3,11,3
train,7,management,divorced,3,0,1,0,None,12,4,-1,0,NoPrev,2020-01-12 15:39:43,2020-01-12 15:40:49,2,1,1.1,1,15,2016-05-12 00:00:00,3,5,19,2
train,8,admin.,married,2,0,1,0,cellular,18,1,-1,0,NoPrev,2020-01-12 12:20:56,2020-01-12 12:22:42,1,1,1.7666666666666666,1,12,2016-11-18 00:00:00,4,11,46,3
train,9,blue-collar,married,2,0,1,1,cellular,12,2,-1,0,NoPrev,2020-01-12 09:22:20,2020-01-12 09:27:46,1,1,5.433333333333334,1,9,2016-05-12 00:00:00,3,5,19,2
